G,Name,U+,Style,Tags
,moon-2,e2d3,,
,moon-4,e2d4,,
,moon-stars,e2d6,,
,moon-stars-4,e2d5,,
,moon-zzz,e2d9,,
,moon-zzz-4,e2d8,,
,move,e2da,,
,multiply,e2df,,
,multiply-2,e2db,,
,multiply-3,e2dc,,
,multiply-4,e2dd,,
,multiply-5,e2de,,
,music-albums,e2e1,,
,music-albums-4,e2e0,,
,music-house,e2e3,,
,music-house-4,e2e2,,
,music-mic,e2e4,,
,music-note,e2e7,,
,music-note-2,e2e5,,
,music-note-list,e2e6,,
,nosign,e2e8,,
,number,e2ed,,
,number-2,e2e9,,
,number-3,e2ea,,
,number-4,e2eb,,
,number-5,e2ec,,
,option,e2ee,,
,paintbrush,e2f0,,
,paintbrush-4,e2ef,,
,pano,e2f2,,
,pano-4,e2f1,,
,paperclip,e2f3,,
,paperplane,e2f5,,
,paperplane-4,e2f4,,
,paragraph,e2f6,,
,pause,e2fb,,
,pause-2,e2f7,,
,pause-4,e2f8,,
,pause-rectangle,e2fa,,
,pause-rectangle-4,e2f9,,
,paw,e2fc,,
,pencil,e302,,
,pencil-2,e2fd,,
,pencil-4,e2fe,,
,pencil-ellipsis-rectangle,e2ff,,
,pencil-outline,e300,,
,pencil-slash,e301,,
,percent,e303,,
,person,e323,,
,person-2,e306,,
,person-2-stack-3,e304,,
,person-2-stack-4,e305,,
,person-3,e307,,
,person-4,e308,,
,person-5,e309,,
,person-6,e30a,,
,person-7,e30b,,
,person-8,e30c,,
,person-9,e30d,,
,personalhotspot,e30e,,
,person-badge-minus,e310,,
,person-badge-minus-4,e30f,,
,person-badge-plus,e312,,
,person-badge-plus-4,e311,,
,person-crop,e322,,
,person-crop-2,e313,,
,person-crop-3,e314,,
,person-crop-4,e315,,
,person-crop-badge-checkmark,e317,,
,person-crop-badge-checkmark-2,e316,,
,person-crop-badge-exclam,e319,,
,person-crop-badge-exclam-2,e318,,
,person-crop-badge-minus,e31b,,
,person-crop-badge-minus-2,e31a,,
,person-crop-badge-plus,e31d,,
,person-crop-badge-plus-2,e31c,,
,person-crop-badge-xmark,e31f,,
,person-crop-badge-xmark-2,e31e,,
,person-crop-rectangle,e321,,
,person-crop-rectangle-4,e320,,
,perspective,e324,,
,phone,e332,,
,phone-2,e325,,
,phone-4,e326,,
,phone-arrow-down-left,e328,,
,phone-arrow-down-left-4,e327,,
,phone-arrow-right,e32a,,
,phone-arrow-right-4,e329,,
,phone-arrow-up-right,e32c,,
,phone-arrow-up-right-4,e32b,,
,phone-badge-plus,e32e,,
,phone-badge-plus-4,e32d,,
,phone-down,e331,,
,phone-down-2,e32f,,
,phone-down-4,e330,,
,photo,e336,,
,photo-4,e333,,
,photo-on-rectangle,e335,,
,photo-on-rectangle-4,e334,,
,piano,e337,,
,pin,e33b,,
,pin-4,e338,,
,pin-slash,e33a,,
,pin-slash-4,e339,,
,placemark,e33d,,
,placemark-4,e33c,,
,play,e344,,
,play-2,e33e,,
,play-4,e33f,,
,playpause,e341,,
,playpause-4,e340,,
,play-rectangle,e343,,
,play-rectangle-4,e342,,
,plus,e357,,
,plus-2,e345,,
,plus-3,e346,,
,plus-4,e347,,
,plus-5,e348,,
,plus-app,e34a,,
,plus-app-4,e349,,
,plus-bubble,e34c,,
,plus-bubble-4,e34b,,
,plusminus,e34f,,
,plusminus-2,e34d,,
,plusminus-4,e34e,,
,plus-on-3,e350,,
,plus-on-4,e351,,
,plus-rectangle,e355,,
,plus-rectangle-4,e352,,
,plus-rectangle-on-rectangle,e354,,
,plus-rectangle-on-rectangle-4,e353,,
,plus-slash-minus,e356,,
,poultry-leg,e358,,
,power,e359,,
,printer,e35b,,
,printer-4,e35a,,
,projective,e35c,,
,purchased,e35f,,
,purchased-2,e35d,,
,purchased-4,e35e,,
,qrcode,e360,,
,qrcode-viewfinder,e361,,
,question,e368,,
,question-2,e362,,
,question-3,e363,,
,question-4,e364,,
,question-5,e365,,
,question-diamond,e367,,
,question-diamond-4,e366,,
,quote-bubble,e36a,,
,quote-bubble-4,e369,,
,radiowaves-left,e36b,,
,radiowaves-right,e36c,,
,rays,e36d,,
,recordingtape,e36e,,
,rectangle,e394,,
,rectangle-3-offgrid,e36f,,
,rectangle-4,e370,,
,rectangle-arrow-up-right-arrow-down-left,e372,,
,rectangle-arrow-up-right-arrow-down-left-slash,e371,,
,rectangle-badge-checkmark,e374,,
,rectangle-badge-checkmark-4,e373,,
,rectangle-badge-xmark,e376,,
,rectangle-badge-xmark-4,e375,,
,rectangle-compress-vertical,e377,,
,rectangle-dock,e378,,
,rectangle-expand-vertical,e379,,
,rectangle-grid-1x2,e37b,,
,rectangle-grid-1x2-4,e37a,,
,rectangle-grid-2,e37c,,
,rectangle-grid-2x2,e37d,,
,rectangle-grid-3x2,e37e,,
,rectangle-gridx2-4,e37f,,
,rectangle-offgrid-4,e380,,
,rectangle-on-rectangle,e384,,
,rectangle-on-rectangle-4,e381,,
,rectangle-on-rectangle-angled,e383,,
,rectangle-on-rectangle-angled-4,e382,,
,rectangle-paperclip,e385,,
,rectangle-split-3x1,e386,,
,rectangle-split-3x3,e387,,
,rectangle-splitx1-4,e388,,
,rectangle-splitx3-4,e389,,
,rectangle-stack,e393,,
,rectangle-stack-4,e38a,,
,rectangle-stack-badge-minus,e38c,,
,rectangle-stack-badge-minus-4,e38b,,
,rectangle-stack-badge-person-crop,e38e,,
,rectangle-stack-badge-person-crop-4,e38d,,
,rectangle-stack-badge-plus,e390,,
,rectangle-stack-badge-plus-4,e38f,,
,rectangle-stack-person-crop,e392,,
,rectangle-stack-person-crop-4,e391,,
,repeat,e396,,
,repeat-1,e395,,
,resize,e398,,
,resize-h,e397,,
,resize-v,e399,,
,return,e39a,,
,rhombus,e39c,,
,rhombus-4,e39b,,
,rocket,e39e,,
,rocket-4,e39d,,
,rosette,e39f,,
,rotate-left,e3a1,,
,rotate-left-4,e3a0,,
,rotate-right,e3a3,,
,rotate-right-4,e3a2,,
,scissors,e3a5,,
,scissors-2,e3a4,,
,scope,e3a6,,
,scribble,e3a7,,
,search,e3aa,,
,search-2,e3a8,,
,search-4,e3a9,,
,selection-pin-in-out,e3ab,,
,shield,e3b0,,
,shield-4,e3ac,,
,shield-lefthalf,e3ad,,
,shield-slash,e3af,,
,shield-slash-4,e3ae,,
,shift,e3b2,,
,shift-4,e3b1,,
,shippingbox,e3b4,,
,shippingbox-4,e3b3,,
,shuffle,e3b5,,
,sidebar-left,e3b6,,
,sidebar-right,e3b7,,
,signature,e3b8,,
,skew,e3b9,,
,slash,e3bb,,
,slash-2,e3ba,,
,slider-horizontal-3,e3bc,,
,slider-horizontal-below-rectangle,e3bd,,
